"","Var1","Freq"
"1","",5
"2","一壘安打",24
"3","二壘安打",14
"4","二壘安打觸殺",1
"5","三振",65
"6","三振投手暴投",1
"7","三振盜壘失敗",1
"8","三振觸殺",1
"9","中外野安打",10
"10","中外野安打失誤",1
"11","內野安打",5
"12","右外野安打",6
"13","失誤",7
"14","失誤觸殺",1
"15","左外野安打",6
"16","平飛安打",1
"17","全壘打",9
"18","夾殺",1
"19","形成安打",2
"20","刺殺",58
"21","刺殺封殺",24
"22","刺殺封殺雙殺",1
"23","保送",81
"24","保送盜壘",1
"25","封殺",9
"26","封殺失誤",1
"27","封殺盜壘失敗",1
"28","封殺雙殺",1
"29","穿越安打穿越安打",33
"30","穿越安打穿越安打觸殺",1
"31","高飛犧牲打犧牲短打",5
"32","接殺",91
"33","接殺盜壘",1
"34","接殺觸殺",1
"35","德州安打",1
"36","雙殺",11
"37","觸殺",2
"38","觸擊",1
"39","犧牲短打",1
